Date,Revenue,Product ID,Quantity Sold,Sales,Customer ID,Transcation ID,Payment Method,Shipping Cost
2024-07-16,"Rs. 54,987.00",PRD208,538,87,C1077,T1077,Credit,0
2024-07-17,"Rs. 61,894.00",PRD101,603,76,C1078,T1078,Cash,1
2024-07-18,"Rs. 52,765.00",PRD213,519,72,C1079,T1079,Fonepay,0
2024-07-19,"Rs. 71,023.00",PRD177,708,85,C1080,T1080,Credit Card,0
2024-07-20,"Rs. 60,234.00",PRD302,601,67,C1081,T1081,Fonepay,0
2024-07-21,"Rs. 65,432.00",PRD154,648,538,C1082,T1082,Credit Card,0
2024-07-22,"Rs. 68,923.00",PRD237,682,603,C1083,T1083,Credit,2
2024-07-23,"Rs. 75,894.00",PRD056,751,519,C1084,T1084,Cash,0
2024-07-24,"Rs. 84,236.00",PRD115,833,708,C1085,T1085,Fonepay,0
2024-07-25,"Rs. 72,654.00",PRD398,722,601,C1086,T1086,Credit,0
2024-07-26,"Rs. 79,876.00",PRD208,797,648,C1087,T1087,Cash,1
2024-07-27,"Rs. 89,765.00",PRD101,897,682,C1088,T1088,Credit Card,0
2024-07-28,"Rs. 76,543.00",PRD213,765,751,C1089,T1089,Fonepay,0
2024-07-29,"Rs. 102,345.00",PRD177,1012,751,C1090,T1090,Credit,0
2024-07-30,"Rs. 87,654.00",PRD302,876,751,C1091,T1091,Cash,0
